,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,valence,key,duration_ms
189,0.0766,0.634,0.844,0.0,-3.809,0.042,85.036,0.246,10.0,172218.0
190,0.074,0.517,0.571,0.0,-7.502,0.124,144.745,0.428,1.0,173379.0
191,0.207,0.803,0.387,1.98e-06,-5.839,0.0723,136.038,0.5,2.0,186157.0
192,0.48,0.766,0.774,0.000165,-3.84,0.246,180.033,0.831,4.0,163240.0
193,0.186,0.712,0.603,0.0,-5.52,0.0262,97.994,0.67,8.0,265493.0
194,0.55,0.716,0.78,0.0,-3.495,0.297,123.856,0.786,11.0,228387.0
195,0.406,0.698,0.846,0.0,-3.735,0.0981,103.968,0.726,8.0,205385.0
196,0.0808,0.879,0.875,0.0,-1.868,0.18,95.021,0.763,10.0,187454.0
197,0.321,0.565,0.697,0.0,-4.901,0.0316,99.934,0.343,9.0,177600.0
198,0.00306,0.623,0.755,0.0,-5.386,0.0415,119.957,0.32,7.0,212254.0
199,0.139,0.802,0.632,0.0954,-5.363,0.0366,120.977,0.726,8.0,142810.0
200,0.011,0.578,0.867,0.0,-4.317,0.0569,143.912,0.548,4.0,177253.0
201,0.413,0.667,0.671,0.0,-4.2,0.0496,83.962,0.695,1.0,171080.0
202,0.000305,0.646,0.798,9.84e-05,-5.283,0.0767,113.959,0.821,4.0,215601.0
203,0.0104,0.603,0.816,5.7e-05,-3.549,0.0335,149.934,0.401,1.0,188562.0
204,0.616,0.613,0.648,1.25e-05,-9.057,0.075,114.94,0.625,5.0,189625.0
205,0.0323,0.503,0.671,0.0,-6.381,0.0419,74.028,0.295,6.0,147568.0
206,0.328,0.813,0.636,0.0,-6.173,0.21,140.948,0.723,7.0,152043.0
207,0.0887,0.726,0.746,0.000558,-8.74,0.283,129.99,0.692,5.0,179697.0
208,0.26,0.885,0.698,0.000114,-3.338,0.0664,108.032,0.505,7.0,232222.0
209,0.000561,0.716,0.881,0.67,-7.027,0.0536,123.984,0.293,11.0,220887.0
210,0.000381,0.558,0.839,0.0,-5.271,0.0288,100.013,0.633,5.0,184282.0
211,0.00205,0.626,0.909,5.19e-06,-4.419,0.131,140.027,0.737,1.0,201429.0
212,0.00703,0.486,0.791,0.0,-6.636,0.216,179.925,0.4,10.0,96000.0
213,0.228,0.599,0.63,0.182,-11.511,0.0375,122.042,0.291,9.0,217709.0
214,0.15,0.889,0.814,1.91e-05,-4.549,0.0645,109.965,0.337,2.0,220444.0
215,0.909,0.55,0.654,7.5e-05,-3.214,0.0359,119.936,0.0841,11.0,65983.0
216,0.192,0.559,0.532,0.00946,-6.698,0.0264,99.935,0.113,7.0,151631.0
217,0.298,0.517,0.733,0.0253,-7.32,0.0452,116.026,0.385,8.0,264960.0
218,0.245,0.455,0.704,0.0,-5.218,0.378,77.783,0.325,1.0,236731.0
219,0.244,0.552,0.996,2.8e-06,2.343,0.103,133.058,0.689,7.0,142842.0
220,0.24,0.834,0.652,0.0708,-8.241,0.0491,113.002,0.491,6.0,199679.0
221,0.569,0.614,0.442,0.0596,-11.284,0.0414,140.698,0.274,4.0,180764.0
222,0.00562,0.781,0.555,0.000142,-6.997,0.181,95.009,0.83,2.0,104842.0
223,0.575,0.53,0.377,0.0,-7.604,0.0439,119.932,0.387,2.0,160500.0
224,0.725,0.624,0.382,0.000405,-9.126,0.0297,123.955,0.401,7.0,153916.0
225,0.00118,0.493,0.935,0.0,-4.133,0.0294,94.964,0.774,1.0,203853.0
226,0.226,0.65,0.508,0.0,-5.912,0.0887,92.988,0.854,11.0,128131.0
227,0.143,0.758,0.655,0.0,-7.226,0.0305,128.019,0.972,5.0,143841.0
228,0.205,0.576,0.616,0.0,-5.24,0.0395,119.983,0.14,6.0,212626.0
229,0.192,0.669,0.457,0.00114,-9.884,0.0353,132.034,0.077,2.0,174545.0
230,0.165,0.631,0.758,0.0,-5.131,0.0833,141.969,0.783,9.0,155819.0
231,0.108,0.462,0.502,0.0,-8.961,0.303,71.017,0.25,7.0,161538.0
232,0.0317,0.618,0.528,0.0,-8.211,0.382,123.024,0.422,11.0,219041.0
233,0.459,0.538,0.606,0.0,-6.423,0.421,79.714,0.429,3.0,224269.0
234,0.0117,0.674,0.742,2.6e-06,-6.374,0.0384,135.007,0.604,0.0,186000.0
235,0.359,0.807,0.366,9.97e-05,-8.982,0.191,141.997,0.56,11.0,206197.0
236,0.214,0.825,0.718,0.0,-6.605,0.351,120.001,0.586,0.0,192048.0
237,0.0255,0.87,0.819,0.00178,-3.925,0.323,161.018,0.405,2.0,144928.0
238,0.00805,0.803,0.805,0.0,-4.167,0.064,97.031,0.652,8.0,188719.0
239,0.0615,0.627,0.816,1.06e-06,-4.403,0.0998,179.992,0.85,8.0,195222.0
240,0.143,0.466,0.736,8.56e-05,-4.805,0.0293,199.942,0.214,8.0,204650.0
241,0.047,0.71,0.619,0.000161,-8.771,0.063,133.116,0.221,6.0,192428.0
242,0.0403,0.808,0.62,1.2e-06,-4.86,0.107,122.007,0.826,4.0,182951.0
243,0.465,0.47,0.592,1.05e-06,-5.958,0.0456,131.743,0.155,9.0,140727.0
244,0.0876,0.421,0.652,0.111,-7.038,0.0431,130.107,0.407,11.0,196239.0
245,0.0547,0.803,0.67,0.653,-10.309,0.112,175.984,0.61,0.0,176600.0
246,0.489,0.759,0.509,0.000603,-8.714,0.0522,118.044,0.347,11.0,203507.0
247,0.596,0.751,0.618,0.0,-4.398,0.04,111.122,0.519,7.0,198939.0
248,0.0499,0.514,0.744,2.7e-05,-5.507,0.0725,170.06,0.618,9.0,266912.0
249,0.0643,0.524,0.799,0.0,-7.25,0.277,82.09,0.757,8.0,184848.0
250,0.0224,0.598,0.812,0.0,-5.076,0.0327,114.005,0.138,8.0,162105.0
251,0.498,0.708,0.632,2.7e-05,-7.047,0.0369,106.026,0.342,2.0,213396.0
252,0.396,0.65,0.574,0.000112,-10.3,0.101,83.963,0.441,11.0,237745.0
253,0.113,0.525,0.731,0.0,-4.378,0.0517,156.3,0.624,1.0,219960.0
254,0.0186,0.47,0.84,0.00012,-5.066,0.143,170.009,0.192,7.0,197302.0
255,0.00173,0.643,0.885,0.538,-6.794,0.044,129.009,0.53,9.0,197255.0
256,0.219,0.664,0.767,0.0,-5.388,0.0422,125.963,0.679,6.0,169524.0
257,0.261,0.716,0.66,0.0,-6.711,0.0813,149.975,0.49,6.0,126059.0
258,0.377,0.649,0.503,0.0,-11.346,0.187,75.017,0.732,11.0,194180.0
259,0.0575,0.658,0.67,0.0,-6.305,0.061,118.955,0.517,0.0,173067.0
260,0.0331,0.66,0.73,0.183,-8.216,0.032,122.991,0.688,2.0,304960.0
261,0.208,0.633,0.575,0.00115,-10.818,0.103,86.02,0.393,5.0,206012.0
262,0.00267,0.726,0.757,2.18e-05,-4.683,0.0962,127.999,0.683,9.0,207619.0
263,0.00162,0.544,0.654,2.83e-06,-5.367,0.0328,171.936,0.626,9.0,171023.0
264,0.144,0.69,0.862,0.0,-4.002,0.0588,90.022,0.901,8.0,182106.0
265,0.0557,0.488,0.599,0.1,-7.757,0.18,141.84,0.766,0.0,152397.0
266,0.309,0.546,0.646,0.000207,-6.735,0.0394,139.08,0.792,2.0,195087.0
267,0.686,0.664,0.404,5.54e-06,-8.698,0.0792,79.982,0.38,8.0,202800.0
268,0.0153,0.694,0.508,0.519,-8.332,0.139,169.522,0.695,10.0,195398.0
269,0.0161,0.578,0.856,7.2e-06,-5.878,0.0411,142.076,0.675,11.0,195347.0
270,0.363,0.664,0.574,0.0,-5.371,0.0335,149.994,0.592,9.0,160443.0
271,0.282,0.641,0.881,0.0,-3.825,0.0426,140.003,0.869,6.0,172544.0
272,0.00105,0.707,0.614,3.57e-06,-5.711,0.0362,139.964,0.616,2.0,119143.0
273,0.000913,0.552,0.944,0.0,-4.633,0.0704,92.509,0.396,1.0,96000.0
274,0.385,0.782,0.54,0.0,-8.891,0.143,142.613,0.842,1.0,176982.0
275,0.00497,0.846,0.711,0.0,-4.043,0.2,93.937,0.656,2.0,154692.0
276,0.0221,0.467,0.686,0.00261,-5.045,0.0816,162.001,0.55,11.0,201900.0
277,0.292,0.672,0.539,0.0,-7.89,0.151,144.15,0.401,2.0,122624.0
278,0.819,0.502,0.297,0.00159,-9.858,0.0424,120.025,0.221,11.0,236133.0
279,0.884,0.59,0.373,1.62e-06,-10.732,0.0271,137.937,0.402,8.0,247847.0
280,0.813,0.361,0.337,8.56e-05,-12.584,0.0435,149.47,0.47,9.0,192707.0
281,0.144,0.751,0.658,0.0,-6.509,0.0267,105.039,0.815,1.0,181800.0
282,0.224,0.563,0.843,0.0348,-5.315,0.0379,159.023,0.851,5.0,174056.0
283,0.0711,0.327,0.9,0.00989,-3.981,0.108,129.704,0.329,1.0,202986.0
284,0.18,0.832,0.706,0.000194,-7.19,0.22,120.018,0.804,6.0,172977.0
285,0.0104,0.425,0.754,0.112,-6.028,0.0367,152.092,0.558,2.0,135693.0
286,0.554,0.751,0.72,0.0497,-6.376,0.0303,135.73,0.884,4.0,217000.0
287,0.312,0.584,0.684,9.05e-05,-4.314,0.567,210.164,0.72,10.0,213573.0
288,0.486,0.65,0.474,0.000235,-10.902,0.14,134.073,0.279,11.0,152593.0
289,0.65,0.726,0.353,0.002,-10.273,0.105,137.66,0.503,10.0,169014.0
290,0.841,0.647,0.228,0.00149,-19.288,0.0668,119.828,0.189,2.0,197000.0
291,0.632,0.744,0.516,0.0,-6.365,0.0513,97.944,0.281,2.0,152293.0
292,0.71,0.626,0.535,1.76e-06,-4.901,0.0289,143.851,0.358,9.0,145833.0
293,0.592,0.608,0.311,0.0,-11.255,0.154,180.362,0.426,4.0,195605.0
294,0.0812,0.753,0.458,0.00413,-12.52,0.123,105.057,0.662,4.0,150054.0
295,0.0197,0.377,0.651,5.31e-05,-5.437,0.0589,129.607,0.0851,4.0,219742.0
296,0.0395,0.568,0.742,0.846,-8.69,0.0634,170.063,0.364,8.0,212881.0
297,0.000163,0.372,0.865,0.922,-6.054,0.108,194.417,0.576,2.0,121296.0
298,0.462,0.642,0.396,0.000823,-16.843,0.0642,84.082,0.797,6.0,286493.0
299,0.252,0.696,0.809,0.000128,-8.254,0.05,132.962,0.857,5.0,131013.0
300,0.0103,0.686,0.897,0.103,-7.18,0.0386,129.975,0.355,11.0,163139.0
